Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,TestString,Mean,Error,StdDev,Median,Ratio,RatioSD,Rank
ByteSpanToDateTimeJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,273.35 ns,3.7422 ns,3.3173 ns,273.07 ns,?,?,1
ByteSpanToDateTimeJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,12.50 ns,0.0813 ns,0.0760 ns,12.49 ns,?,?,1
ByteSpanToDateTimeO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,12.43 ns,0.0558 ns,0.0522 ns,12.44 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,267.14 ns,5.8087 ns,8.8705 ns,262.64 ns,?,?,1
ByteSpanToDateTimeOffsetJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,12.11 ns,0.0837 ns,0.0699 ns,12.14 ns,?,?,1
ByteSpanToDateTimeOffsetO,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeOffsetO,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16,12.50 ns,0.0545 ns,0.0455 ns,12.51 ns,?,?,2
ByteSpanToDateTimeJ,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,283.90 ns,2.0248 ns,1.6908 ns,284.59 ns,?,?,1
ByteSpanToDateTimeJ,Clr,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,NA,NA,NA,NA,?,?,?
ByteSpanToDateTimeJ,Core,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1997-07-16T19:20,NA,NA,NA,NA,?,?,?
